Name,Name,Key,Style,Style_Key,Brewery,Description,ABV,Ave_Rating,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,Brewery_ID,Brewery_Name,Avg_Review_Overall,Avg_Review_Aroma,Avg_Review_Appearance,Avg_Review_Palate,Avg_Review_Taste,Beer_ID
# 100,# 100,4233,Barleywine - American,97,Nøgne Ø - Det Kompromissløse Bryggeri A/S,"Notes:23,5° P, 80 IBU.First brewed to celebrate the 100th batch. Ingredients: Maris Otter, wheat, and chocolate malt; Columbus, Chinook, and Centennial hops; English ale yeast, and our local Grimstad water.	",10.0,4.07,18,70,43,85,92,26,1,53,95,15,113,7730,Nøgne Ø - Det Kompromissløse Bryggeri A/S,3.9610091743119265,4.013761467889908,4.1536697247706424,4.084862385321101,4.094036697247707,25489
#9,#9,3301,Fruit and Field Beer,77,Magic Hat Brewing Company,"Notes:A beer cloaked in secrecy. An ale whose mysterious and unusual palate will swirl across your tongue and ask more questions than it answers. A sort of dry, crisp, refreshing, not-quite pale ale. #9 is really impossible to describe because there's never been anything else quite like it.20 IBU	",5.1,3.42,22,23,1,31,73,38,0,74,50,2,28,96,Magic Hat Brewing Company,3.5395284327323164,3.4344660194174756,3.501040221914008,3.3980582524271843,3.396671289875173,299
't Smisje BBBourgondier,'t Smisje BBBourgondier,4399,Quadrupel (Quad),100,Brouwerij Smisje,Notes:Currently only 50 cases of this beer are available per year. Brewed in honor of the Burgundian Babble Belt.	,12.0,3.98,14,65,83,8,133,74,0,88,20,42,58,322,Brouwerij Smisje,3.8351063829787235,3.9148936170212765,3.7872340425531914,3.898936170212766,3.9680851063829787,7988
't Smisje Blond,'t Smisje Blond,1739,Blonde Ale - Belgian,42,Brouwerij Smisje,Notes:,6.0,3.25,11,34,14,21,31,82,0,79,43,15,22,322,Brouwerij Smisje,3.03125,3.2604166666666665,3.5729166666666665,3.2604166666666665,3.0833333333333335,26208
10 Commandments,10 Commandments,4576,Strong Ale - Belgian Dark,104,The Lost Abbey,Notes:A stronger version of our Lost and Found Abbey Ale brewed to a more contemplative alcohol content. Massive in every stretch of the brewing way possible this is the sort of beer that will remind a beer drinker who considers themselves a saint that even saints stray as sinners from time to time.	,11.0,3.98,9,55,58,29,119,41,0,80,36,27,67,18149,The Lost Abbey,3.828813559322034,4.061016949152543,3.986440677966102,3.883050847457627,3.986440677966102,36728
1100 Wheat Wine,1100 Wheat Wine,4789,Wheat Beer - Wheatwine,108,Fitger's Brewhouse,Notes:Aged in first use Woodford bourbon barrels for a year.	,11.5,4.07,4,30,26,4,34,14,0,38,9,12,30,1169,Fitger's Brewhouse,4.5,4.6,4.2,4.3,4.6,22078
12 Dogs Of Christmas Ale,12 Dogs Of Christmas Ale,670,Winter Warmer,17,Thirsty Dog Brewing Company,"Notes:This beer's name sums up the idea of bringing the best together to celebrate. It is filled with seasonal flavors from generous amounts of toasted and caramel malts, mixed with equally generous amounts of honey, cinnamon, ginger, and nutmeg. We feel it is the perfect libation, filled with flavors of the season.	",8.3,3.98,8,37,23,16,67,6,0,13,17,116,79,12516,Thirsty Dog Brewing Company,3.796153846153846,3.8076923076923075,3.746153846153846,3.669230769230769,3.8615384615384616,45992
1488 Whisky Beer,1488 Whisky Beer,4691,Strong Ale - English,106,Tullibardine Distillery,Notes:,7.0,3.31,10,54,74,13,74,23,0,31,16,28,81,16881,Tullibardine Distillery,3.0833333333333335,3.4722222222222223,3.1944444444444446,3.2222222222222223,3.3333333333333335,42365
1516 Bavarian Lager,1516 Bavarian Lager,2543,Lager - Helles,59,Okanagan Spring Brewery,"Notes:The decree states that only four ingredients can be used when making beer: barley, hops, yeast and water. The result is a lager with a crisp finish and a rich golden colour.	",5.0,3.32,42,33,3,38,28,9,4,11,50,3,68,3753,Okanagan Spring Brewery,3.6176470588235294,3.1470588235294117,3.5,3.3823529411764706,3.426470588235294,9444
1906 Reserva Especial,1906 Reserva Especial,1023,Lager - Vienna,25,"Hijos De Rivera, S.A.","Notes:Elegant, bright, amber beer. Aromas of roasted malt with soft notes of caramel and coffee. Water from the city of A Coruña, two-stroke malts (Pilsen and toast), corn, and hops Perle Hallertau. Selected yeast from Hijos of Rivera. Hops with slight floral and herbal nuances on the nose. Roasted taste predominates on the palate, with the hint of a pleasant, well-integrated warmth with each drink. Made from a specific wort in the exclusive production centre, Hijos de Rivera in A Coruña. It has one of the longest ageing periods among national lagers.	",6.5,3.29,21,26,9,34,47,10,3,10,61,7,88,2100,"Hijos De Rivera, S.A.",2.9,2.825,3.25,3.1,2.9,26352
